nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
ggml-org/llama.cpp,2023-03-10T18:58:00Z,C++,2025-03-14T18:41:11Z,4225
2dust/v2rayN,2019-07-30T03:47:24Z,C#,2025-03-14T17:55:21Z,202
spring-projects/spring-boot,2012-10-19T15:02:57Z,Java,2025-03-14T17:12:40Z,42
3b1b/manim,2015-03-22T18:50:58Z,Python,2025-03-14T18:43:04Z,625
MisterBooo/LeetCodeAnimation,2018-12-06T08:01:22Z,Java,2025-03-14T18:21:24Z,63
microsoft/generative-ai-for-beginners,2023-06-19T16:28:59Z,Jupyter Notebook,2025-03-14T18:41:19Z,325
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,JavaScript,2025-03-14T18:32:36Z,209
typicode/json-server,2013-11-27T13:21:13Z,JavaScript,2025-03-14T18:31:09Z,121
netdata/netdata,2013-06-17T18:39:10Z,C,2025-03-14T18:29:49Z,10124
DopplerHQ/awesome-interview-questions,2015-11-28T09:48:17Z,,2025-03-14T17:58:29Z,176
nomic-ai/gpt4all,2023-03-27T18:49:32Z,C++,2025-03-14T18:33:59Z,937
vuejs/awesome-vue,2015-10-20T00:16:14Z,,2025-03-14T16:51:33Z,3546
MunGell/awesome-for-beginners,2015-10-24T19:53:36Z,,2025-03-14T18:35:31Z,433
elastic/elasticsearch,2010-02-08T13:20:56Z,Java,2025-03-14T17:53:39Z,74820
anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,JavaScript,2025-03-14T17:16:09Z,1237
fighting41love/funNLP,2018-08-21T11:20:39Z,Python,2025-03-14T16:59:01Z,14
microsoft/ML-For-Beginners,2021-03-03T01:34:05Z,HTML,2025-03-14T18:21:25Z,371
vitejs/vite,2020-04-21T05:03:57Z,TypeScript,2025-03-14T17:49:18Z,5149
comfyanonymous/ComfyUI,2023-01-17T03:15:56Z,Python,2025-03-14T18:23:15Z,686
microsoft/playwright,2019-11-15T18:32:42Z,TypeScript,2025-03-14T18:21:53Z,14186
coder/code-server,2019-02-27T16:50:41Z,TypeScript,2025-03-14T18:03:36Z,1525
bregman-arie/devops-exercises,2019-10-03T17:31:21Z,Python,2025-03-14T18:40:40Z,282
CompVis/stable-diffusion,2022-08-10T14:36:44Z,Jupyter Notebook,2025-03-14T18:21:25Z,5
hoppscotch/hoppscotch,2019-08-21T13:15:24Z,TypeScript,2025-03-14T18:05:14Z,1701
nestjs/nest,2017-02-04T20:12:52Z,TypeScript,2025-03-14T18:21:26Z,6869
thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,,2025-03-14T15:25:13Z,179
Anduin2017/HowToCook,2020-02-29T10:43:49Z,Dockerfile,2025-03-14T18:21:26Z,519
